File,Label,R,G,B
SetengahMatang.9.JPG,Setengah Matang,142,111,76
SetengahMatang.6.jpg,Setengah Matang,190,180,166
SetengahMatang.1.jpg,Setengah Matang,207,196,169
SetengahMatang.2.jpg,Setengah Matang,205,201,182
SetengahMatang.5.jpg,Setengah Matang,218,213,188
SetengahMatang.10.JPG,Setengah Matang,158,153,137
SetengahMatang.3.jpg,Setengah Matang,206,201,166
SetengahMatang.4.jpg,Setengah Matang,214,210,192
SetengahMatang.8.jpg,Setengah Matang,119,119,114
SetengahMatang.7.JPG,Setengah Matang,183,178,158
NanasMatang.1.JPG,Matang,169,163,143
NanasMatang.9.JPG,Matang,150,132,105
NanasMatang.6.JPG,Matang,161,149,130
NanasMatang.7.JPG,Matang,130,111,87
NanasMatang.2.JPG,Matang,128,118,101
NanasMatang.3.JPG,Matang,130,114,103
NanasMatang.5.JPG,Matang,117,113,99
NanasMatang.10.JPG,Matang,175,142,107
NanasMatang.4.JPG,Matang,133,121,104
NanasMatang.8.JPG,Matang,139,116,82
NanasMentah.8.jpg,Mentah,120,112,102
NanasMentah.6.jpg,Mentah,120,131,115
NanasMentah.9.jpg,Mentah,121,118,100
NanasMentah.10.jpg,Mentah,147,145,132
NanasMentah.5.JPG,Mentah,135,130,115
NanasMentah.7.jpg,Mentah,127,120,106
NanasMentah.2.JPG,Mentah,128,120,109
NanasMentah.1.jpg,Mentah,143,154,103
NanasMentah.4.jpg,Mentah,128,122,106
NanasMentah.3.jpg,Mentah,118,136,80
Matang.11.jpg,Matang,160,120,50
Matang.12.jpg,Matang,170,110,60
Matang.13.jpg,Matang,165,125,55
Mentah.11.jpg,Mentah,100,120,80
Mentah.12.jpg,Mentah,95,115,85
Mentah.13.jpg,Mentah,105,125,90
apple1.jpg,not_pineapple,300,129,20
orange1.jpg,not_pineapple,301,130,24
background1.jpg,not_pineapple,302,131,28
background2.jpg,not_pineapple,303,132,32
apple2.jpg,not_pineapple,304,133,36
orange2.jpg,not_pineapple,305,134,40
background5.jpg,not_pineapple,306,135,44
background7.jpg,not_pineapple,307,136,48
apple3.jpg,not_pineapple,308,137,52
background1.jpg,not_pineapple,100,100,100
background2.jpg,not_pineapple,80,90,85
meja.jpg,not_pineapple,150,130,140
tangan.jpg,not_pineapple,130,120,135
tembok.jpg,not_pineapple,170,160,150
